"","path","cameras","pictures"
"1","./Data/Session1/VorZurueck/Registered.txt",4,4083
"2","./Data/Session1/Stehen vor Cam/Registered.txt",4,831
"3","./Data/Session1/Rotation/Registered.txt",4,1694
"4","./Data/Session1/Random/Registered.txt",4,2399
"5","./Data/Session1/Laufen/Registered.txt",4,1705
"6","./Data/Session1/Stehen (zwischen 2 cams)/Registered.txt",4,685
"7","./Data/Session1/Random slow/Registered.txt",4,2724
"8","./Data/Session1/Zeigen/Registered.txt",4,1189
"9","./Data/Session1/Rotation T-Pose/Registered.txt",4,1356
"10","./Data/session 2/Proband 2/Peripherie/Registered.txt",6,1767
"11","./Data/session 2/Proband 2/Random/Registered.txt",6,2041
"12","./Data/session 2/Proband 2/Vor zurueck/Registered.txt",5,1927
"13","./Data/session 2/Proband 2/Laufen/Registered.txt",6,1739
"14","./Data/session 2/Proband 2/Drehen UZS/Registered.txt",6,1467
"15","./Data/session 2/Proband 2/Drehen gegen UZS/Registered.txt",6,1325
"16","./Data/session 2/Proband 2/Zeigen/Registered.txt",6,1186
"17","./Data/session 2/Proband 3/Drehen gegen UZS - T/Registered.txt",6,1294
"18","./Data/session 2/Proband 3/Peripherie/Registered.txt",6,1550
"19","./Data/session 2/Proband 3/Zeigen (2)/Registered.txt",6,1613
"20","./Data/session 2/Proband 3/Drehen UZS - T/Registered.txt",6,1153
"21","./Data/session 2/Proband 3/Peripherie (2)/Registered.txt",6,1945
"22","./Data/session 2/Proband 3/Random/Registered.txt",6,2095
"23","./Data/session 2/Proband 3/Random (2)/Registered.txt",6,1870
"24","./Data/session 2/Proband 3/Vor zurueck/Registered.txt",6,1259
"25","./Data/session 2/Proband 3/Laufen/Registered.txt",6,1932
"26","./Data/session 2/Proband 3/Drehen UZS/Registered.txt",6,1051
"27","./Data/session 2/Proband 3/Laufen (2)/Registered.txt",6,1825
"28","./Data/session 2/Proband 3/Drehen gegen UZS/Registered.txt",6,1188
"29","./Data/session 2/Proband 3/Zeigen/Registered.txt",6,1318
"30","./Data/session 2/Proband 3/Vor zurueck (2)/Registered.txt",6,1285
"31","./Data/session 2/Proband 4/Peripherie/Registered.txt",6,1357
"32","./Data/session 2/Proband 4/Knien/Registered.txt",6,945
"33","./Data/session 2/Proband 4/Vor zurueck (3)/Registered.txt",6,1531
"34","./Data/session 2/Proband 4/Random/Registered.txt",6,2053
"35","./Data/session 2/Proband 4/Vor zurueck/Registered.txt",6,1102
"36","./Data/session 2/Proband 4/Laufen/Registered.txt",6,1546
"37","./Data/session 2/Proband 4/Knien (2)/Registered.txt",6,676
"38","./Data/session 2/Proband 4/Drehen UZS/Registered.txt",6,1047
"39","./Data/session 2/Proband 4/Joint Distanz/Registered.txt",6,850
"40","./Data/session 2/Proband 4/Drehen gegen UZS/Registered.txt",6,1038
"41","./Data/session 2/Proband 4/Zeigen/Registered.txt",6,1272
"42","./Data/session 2/Proband 4/Arm kreisen/Registered.txt",6,933
"43","./Data/session 2/Proband 4/Vor zurueck (2)/Registered.txt",6,1656
"44","./Data/session 2/Proband 5/Peripherie/Registered.txt",6,1813
"45","./Data/session 2/Proband 5/Random/Registered.txt",6,1797
"46","./Data/session 2/Proband 5/Vor zurueck/Registered.txt",6,2097
"47","./Data/session 2/Proband 5/Laufen/Registered.txt",6,1659
"48","./Data/session 2/Proband 5/Drehen UZS/Registered.txt",6,1077
"49","./Data/session 2/Proband 5/Drehen gegen UZS/Registered.txt",6,1040
"50","./Data/session 2/Proband 5/Zeigen/Registered.txt",6,1148
"51","./Data/session 2/Proband 1/Peripherie/Registered.txt",6,1913
"52","./Data/session 2/Proband 1/Random/Registered.txt",6,2453
"53","./Data/session 2/Proband 1/Vor zurueck/Registered.txt",6,2001
"54","./Data/session 2/Proband 1/Drehen UZS/Registered.txt",6,1506
"55","./Data/session 2/Proband 1/Drehen gegen UZS/Registered.txt",6,1388
